	index	Date	HomeTeam	AwayTeam	FTHG	FTAG	HS	AS	HST	AST	HTHG	HTAG	HF	AF	FTR	HTR	HY	AY	HR	AR	WHH	WHD	WHA	Season	watch	AGS	AGA	AYC	ARC	AWW	HGS	HGA	HYC	HRC	HWW
51	63	2000-09-23	Liverpool	Sunderland	1	1	11	8	6	3	1	1	14	18	D	D	2	2	0	0	1.4	3.75	7.0	00	0	1.0	1.6666666666666667	2.3333333333333335	0.0	0.16666666666666666	1.8333333333333333	1.5	1.6666666666666667	0.3333333333333333	0.5
52	64	2000-09-23	Man United	Chelsea	3	3	11	13	5	5	3	2	15	19	D	H	3	2	0	0	1.61	3.5	4.5	00	1	1.1666666666666667	1.5	2.0	0.0	0.3333333333333333	2.8333333333333335	0.6666666666666666	1.0	0.0	0.5
53	65	2000-09-23	Middlesbrough	Aston Villa	1	1	12	15	5	7	0	0	7	14	D	D	3	0	0	0	2.37	3.1	2.62	00	0	1.2	1.0	1.6	0.0	0.2	1.6666666666666667	1.6666666666666667	2.8333333333333335	0.0	0.5
54	66	2000-09-23	Newcastle	Charlton	0	1	12	4	5	2	0	1	14	10	A	A	1	2	0	0	1.44	3.6	6.5	00	0	1.8333333333333333	1.8333333333333333	1.1666666666666667	0.3333333333333333	0.5	1.1666666666666667	1.0	0.3333333333333333	0.16666666666666666	0.16666666666666666
55	67	2000-09-23	Tottenham	Man City	0	0	18	7	5	2	0	0	10	14	D	D	0	2	0	0	1.53	3.4	5.5	00	0	1.6666666666666667	2.1666666666666665	2.5	0.0	0.5	1.3333333333333333	1.1666666666666667	0.5	0.0	0.3333333333333333
56	68	2000-09-24	Leicester	Everton	1	1	10	9	4	3	1	0	14	13	D	H	3	1	0	0	1.8	3.3	3.75	00	0	1.6666666666666667	1.8333333333333333	2.1666666666666665	0.0	0.5	1.0	0.16666666666666666	1.5	0.0	0.0
57	69	2000-09-30	Aston Villa	Derby	4	1	12	11	7	6	2	0	0	1	H	H	1	1	0	0	1.53	3.4	5.5	00	1	1.8571428571428572	2.142857142857143	2.5714285714285716	0.14285714285714285	0.7142857142857143	1.1666666666666667	1.0	1.3333333333333333	0.0	0.16666666666666666
58	70	2000-09-30	Charlton	Coventry	2	2	12	10	8	6	0	1	8	16	D	A	1	2	0	0	1.8	3.3	3.75	00	1	0.8571428571428571	1.7142857142857142	2.2857142857142856	0.14285714285714285	0.14285714285714285	1.7142857142857142	1.5714285714285714	1.2857142857142858	0.2857142857142857	0.42857142857142855
59	71	2000-09-30	Everton	Ipswich	0	3	7	9	3	7	0	1	6	5	A	A	1	0	0	0	1.72	3.4	4.0	00	0	1.1428571428571428	1.4285714285714286	1.1428571428571428	0.0	0.2857142857142857	1.5714285714285714	1.7142857142857142	2.0	0.0	0.42857142857142855
60	72	2000-09-30	Leeds	Tottenham	4	3	14	10	7	5	0	1	11	20	H	A	0	2	0	0	1.72	3.4	4.0	00	1	1.1428571428571428	1.0	0.42857142857142855	0.0	0.2857142857142857	1.1666666666666667	1.0	1.3333333333333333	0.0	0.3333333333333333
61	73	2000-09-30	Man City	Newcastle	0	1	9	15	7	9	0	0	16	12	A	D	0	1	0	0	2.4	3.25	2.5	00	0	1.0	1.0	0.42857142857142855	0.14285714285714285	0.14285714285714285	1.4285714285714286	1.8571428571428572	2.4285714285714284	0.0	0.42857142857142855
62	74	2000-09-30	Southampton	Middlesbrough	1	3	16	7	8	5	0	2	6	22	A	A	2	2	0	0	2.2	3.25	2.75	00	1	1.5714285714285714	1.5714285714285714	2.857142857142857	0.0	0.42857142857142855	1.4285714285714286	1.2857142857142858	1.4285714285714286	0.0	0.2857142857142857
63	75	2000-09-30	West Ham	Bradford	1	1	14	9	6	6	1	0	14	10	D	H	3	2	0	0	1.44	3.6	6.5	00	0	0.42857142857142855	1.5714285714285714	1.1428571428571428	0.0	0.14285714285714285	1.2857142857142858	1.4285714285714286	1.7142857142857142	0.14285714285714285	0.2857142857142857
64	76	2000-10-01	Arsenal	Man United	1	0	7	13	5	4	1	0	18	17	H	H	2	3	0	0	2.5	2.9	2.62	00	0	2.857142857142857	1.0	1.2857142857142858	0.0	0.5714285714285714	1.8571428571428572	1.2857142857142858	1.2857142857142858	0.2857142857142857	0.2857142857142857
65	77	2000-10-01	Chelsea	Liverpool	3	0	11	10	5	2	2	0	14	14	H	H	1	1	0	0	2.2	3.0	3.0	00	0	1.7142857142857142	1.4285714285714286	1.7142857142857142	0.2857142857142857	0.42857142857142855	1.4285714285714286	1.7142857142857142	2.0	0.0	0.42857142857142855
66	78	2000-10-01	Sunderland	Leicester	0	0	11	8	5	2	0	0	12	8	D	D	3	1	0	0	1.9	3.2	3.5	00	0	1.0	0.2857142857142857	1.7142857142857142	0.0	0.0	1.0	1.5714285714285714	2.2857142857142856	0.0	0.14285714285714285
67	79	2000-10-14	Arsenal	Aston Villa	1	0	16	8	10	3	0	0	12	20	H	D	1	4	0	1	1.53	3.4	5.5	00	0	1.5714285714285714	1.0	1.2857142857142858	0.0	0.2857142857142857	1.75	1.125	1.375	0.25	0.25
68	80	2000-10-14	Coventry	Tottenham	2	1	0	4	5	5	2	0	12	16	H	H	0	4	1	0	2.62	3.1	2.37	00	0	1.375	1.375	0.625	0.0	0.375	1.0	1.75	2.25	0.125	0.25
69	81	2000-10-14	Everton	Southampton	1	1	7	7	3	4	0	0	16	13	D	D	1	3	0	0	1.8	3.3	3.75	00	0	1.375	1.5	1.5	0.0	0.375	1.375	1.875	1.875	0.0	0.375
70	82	2000-10-14	Ipswich	West Ham	1	1	11	7	8	2	1	0	10	11	D	H	0	4	0	0	2.37	3.1	2.62	00	0	1.25	1.375	1.875	0.125	0.25	1.375	1.25	1.0	0.0	0.25
71	83	2000-10-14	Leeds	Charlton	3	1	22	10	10	8	1	0	7	9	H	H	0	1	0	0	1.5	3.6	5.5	00	1	1.75	1.625	1.25	0.25	0.5	1.5714285714285714	1.2857142857142858	1.1428571428571428	0.0	0.42857142857142855
