,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HTHG,HTAG,HF,AF,FTR,HTR,HY,AY,HR,AR,WHH,WHD,WHA,Season,watch,AGS,AGA,AYC,ARC,AWW,HGS,HGA,HYC,HRC,HWW,HP,AP
76,2000-10-16,Middlesbrough,Newcastle,1,3,8,15,2,8,0,1,8,13,A,A,2,1,0,0,2.5,3.1,2.5,0,1,1.0,0.875,0.5,0.125,0.125,1.75,1.5,2.75,0.0,0.5,7,13
77,2000-10-21,Bradford,Ipswich,0,2,7,12,3,3,0,1,15,14,A,A,1,0,0,0,2.25,3.2,2.75,0,0,1.3333333333333333,1.2222222222222223,0.8888888888888888,0.0,0.2222222222222222,0.4444444444444444,1.5555555555555556,1.3333333333333333,0.0,0.1111111111111111,6,12
78,2000-10-21,Charlton,Middlesbrough,1,0,5,8,2,6,0,0,11,19,H,D,2,2,0,0,2.1,3.2,3.0,0,0,1.6666666666666667,1.6666666666666667,2.6666666666666665,0.0,0.5555555555555556,1.6666666666666667,1.7777777777777777,1.2222222222222223,0.2222222222222222,0.5555555555555556,9,7
79,2000-10-21,Chelsea,Coventry,6,1,33,3,19,3,2,0,6,8,H,H,0,1,0,1,1.4,3.6,7.5,0,1,1.1111111111111112,1.6666666666666667,2.0,0.2222222222222222,0.2222222222222222,1.4444444444444444,1.4444444444444444,1.7777777777777777,0.1111111111111111,0.3333333333333333,6,11
80,2000-10-21,Liverpool,Leicester,1,0,24,8,11,3,0,0,8,10,H,D,1,2,0,0,1.5,3.4,6.0,0,0,0.7777777777777778,0.5555555555555556,1.4444444444444444,0.0,0.0,1.7777777777777777,1.4444444444444444,1.5555555555555556,0.2222222222222222,0.4444444444444444,12,12
81,2000-10-21,Man United,Leeds,3,0,26,5,14,0,1,0,9,18,H,H,0,2,0,0,1.44,3.6,6.5,0,0,1.75,1.25,1.0,0.0,0.5,2.555555555555556,0.8888888888888888,1.3333333333333333,0.0,0.4444444444444444,15,11
82,2000-10-21,Newcastle,Everton,0,1,11,9,4,4,0,0,9,12,A,D,1,3,0,0,1.53,3.4,5.5,0,0,1.3333333333333333,1.7777777777777777,1.7777777777777777,0.0,0.3333333333333333,1.2222222222222223,0.8888888888888888,0.5555555555555556,0.1111111111111111,0.2222222222222222,16,9
83,2000-10-21,Tottenham,Derby,3,1,18,8,8,7,2,1,9,16,H,H,1,2,0,0,1.44,3.6,6.5,0,1,1.5555555555555556,2.555555555555556,2.2222222222222223,0.1111111111111111,0.7777777777777778,1.3333333333333333,1.4444444444444444,1.0,0.0,0.3333333333333333,8,4
84,2000-10-21,West Ham,Arsenal,1,2,11,13,3,5,0,2,15,11,A,A,1,0,0,0,3.0,3.2,2.1,0,0,1.6666666666666667,1.0,1.3333333333333333,0.2222222222222222,0.2222222222222222,1.2222222222222223,1.3333333333333333,2.1111111111111107,0.1111111111111111,0.2222222222222222,8,18
85,2000-10-22,Aston Villa,Sunderland,0,0,17,7,4,3,0,0,11,17,D,D,1,3,0,0,1.72,3.4,4.0,0,0,0.8888888888888888,1.2222222222222223,2.1111111111111107,0.1111111111111111,0.1111111111111111,1.375,1.0,1.625,0.125,0.25,10,9
86,2000-10-23,Southampton,Man City,0,2,19,11,6,4,0,1,10,15,A,A,1,2,0,0,1.9,3.25,3.4,0,0,1.3333333333333333,1.5555555555555556,1.8888888888888888,0.0,0.3333333333333333,1.3333333333333333,1.4444444444444444,1.6666666666666667,0.0,0.3333333333333333,9,11
87,2000-10-28,Arsenal,Man City,5,0,22,6,14,2,1,0,6,13,H,H,0,3,0,1,1.28,4.5,8.0,0,1,1.4,1.4,1.9,0.0,0.3,1.7,1.0,1.2,0.2,0.2,21,14
88,2000-10-28,Aston Villa,Charlton,2,1,12,7,7,4,2,0,13,11,H,H,3,2,0,0,1.61,3.25,5.0,0,0,1.6,1.6,1.3,0.2,0.5,1.2222222222222223,0.8888888888888888,1.5555555555555556,0.1111111111111111,0.2222222222222222,11,12
89,2000-10-28,Chelsea,Tottenham,3,0,9,6,7,3,2,0,12,14,H,H,3,3,0,0,1.61,3.25,5.0,0,0,1.5,1.4,1.0,0.0,0.4,1.9,1.4,1.6,0.1,0.4,9,11
90,2000-10-28,Ipswich,Middlesbrough,2,1,19,7,11,3,2,0,8,17,H,H,0,2,0,0,2.1,3.2,3.0,0,0,1.5,1.6,2.6,0.0,0.5,1.4,1.1,0.8,0.0,0.2,15,7
91,2000-10-28,Leicester,Derby,2,1,9,7,5,2,1,1,9,18,H,D,0,3,0,0,1.66,3.1,5.0,0,0,1.5,2.6,2.2,0.1,0.8,0.7,0.6,1.5,0.0,0.0,12,4
92,2000-10-28,Man United,Southampton,5,0,16,12,8,5,2,0,5,9,H,H,0,0,0,0,1.2,5.0,11.0,0,1,1.2,1.5,1.6,0.0,0.3,2.6,0.8,1.2,0.0,0.4,18,9
93,2000-10-28,Sunderland,Coventry,1,0,11,10,7,4,0,0,17,10,H,D,2,2,0,0,1.61,3.25,5.0,0,0,1.1,2.1,1.9,0.3,0.3,0.8,1.1,2.2,0.1,0.1,10,11
94,2000-10-28,West Ham,Newcastle,1,0,11,12,4,5,0,0,15,10,H,D,3,2,0,0,2.3,3.25,2.62,0,0,1.1,0.9,0.6,0.1,0.2,1.2,1.4,2.0,0.1,0.2,8,16
95,2000-10-29,Bradford,Leeds,1,1,11,12,6,9,1,0,15,15,D,H,3,4,0,0,3.75,3.3,1.8,0,0,1.5555555555555556,1.4444444444444444,1.1111111111111112,0.0,0.4444444444444444,0.4,1.6,1.3,0.0,0.1,6,11
96,2000-10-29,Liverpool,Everton,3,1,10,9,8,7,1,1,10,10,H,D,0,1,0,1,1.72,3.1,4.5,0,1,1.3,1.6,1.9,0.0,0.3,1.7,1.3,1.5,0.2,0.4,15,12
97,2000-11-04,Charlton,Bradford,2,0,11,12,7,8,2,0,10,20,H,H,0,1,0,1,1.72,3.4,4.0,0,0,0.4545454545454545,1.5454545454545454,1.4545454545454546,0.0,0.09090909090909093,1.5454545454545454,1.6363636363636365,1.3636363636363635,0.18181818181818185,0.4545454545454545,12,7
98,2000-11-04,Coventry,Man United,1,2,4,11,2,6,0,2,17,8,A,A,1,1,0,0,5.5,3.25,1.57,0,0,2.8181818181818183,0.7272727272727273,1.0909090909090908,0.0,0.4545454545454545,1.0,2.0,1.9090909090909087,0.2727272727272727,0.2727272727272727,11,21
99,2000-11-04,Leeds,Liverpool,4,3,10,14,7,8,1,2,18,18,H,A,1,4,0,0,2.5,3.1,2.5,0,1,1.818181818181818,1.2727272727272727,1.3636363636363635,0.18181818181818185,0.4545454545454545,1.5,1.4,1.4,0.0,0.4,12,18
100,2000-11-04,Man City,Leicester,0,1,14,3,3,2,0,0,12,14,A,D,1,2,0,0,2.25,3.1,2.8,0,0,0.8181818181818182,0.6363636363636364,1.3636363636363635,0.0,0.0,1.2727272727272727,1.7272727272727273,2.0,0.09090909090909093,0.3636363636363637,14,15
101,2000-11-04,Middlesbrough,Arsenal,0,1,4,11,3,8,0,1,10,11,A,A,1,1,1,0,4.5,3.3,1.66,0,0,2.0,0.9090909090909092,1.0909090909090908,0.18181818181818185,0.2727272727272727,1.4545454545454546,1.6363636363636365,2.5454545454545454,0.0,0.4545454545454545,7,24
102,2000-11-04,Newcastle,Ipswich,2,1,11,8,6,5,1,1,13,7,H,D,1,0,0,0,1.72,3.4,4.0,0,0,1.4545454545454546,1.0909090909090908,0.7272727272727273,0.0,0.18181818181818185,1.0,0.9090909090909092,0.7272727272727273,0.09090909090909093,0.18181818181818185,16,18
103,2000-11-04,Southampton,Chelsea,3,2,10,9,4,4,2,0,16,11,H,H,4,2,0,0,3.75,3.3,1.8,0,1,2.0,1.2727272727272727,1.7272727272727273,0.09090909090909093,0.3636363636363637,1.0909090909090908,1.818181818181818,1.4545454545454546,0.0,0.3636363636363637,9,12
104,2000-11-04,Tottenham,Sunderland,2,1,11,12,6,3,1,0,18,9,H,H,1,0,1,0,1.9,3.25,3.4,0,0,0.8181818181818182,1.0,2.1818181818181817,0.09090909090909093,0.09090909090909093,1.3636363636363635,1.5454545454545454,1.181818181818182,0.0,0.3636363636363637,11,13
